"Category","TreeID"
"ID 74",10420
"ID 83",18321
"ID 84",10179
"ID 136",2626
"ID 312",11808
"ID 313",4763
"ID 314",49197
"ID 319",28287
"ID 320",28477
"ID 321",35626
"ID 62",2571
"ID 73",13262
"ID 81",10879
"ID 82",9392
"ID 95",25174
"ID 112",13575
"ID 122",21221
"ID 1213",11414
"ID 1214",4362
"ID 1218",19164
"ID 126",3073
"ID 134",19432
"ID 143",12309
"ID 145",19908
"ID 149",7199
"ID 219",9800
"ID 612",28347
"ID 821",39495
"ID 1018",43502
"ID 1416",35413
"ID 43",8683
"ID 44",25262
"ID 72",24727
"ID 135",60984
"ID 138",74513
"ID 144",29714
"ID 413",33240
"ID 1310",78013
"ID 1412",14151
"ID 1415",23954